5 + 12 =       7 - 5 =        1 + 17 =       2 + 11 =       16 - 2 =
12 + 6 =       15 - 12 =      3 + 10 =       4 + 16 =       7 - 6 =
2 + 14 =       18 - 5 =       14 - 4 =       13 + 3 =       7 + 1 =
13 - 11 =      12 + 4 =       2 + 4 =        6 + 8 =        2 + 10 =
11 - 10 =      5 - 2 =        3 + 13 =       17 - 11 =      18 - 10 =
8 - 3 =        18 - 13 =      5 + 4 =        13 - 3 =       17 - 4 =
5 - 3 =        17 - 8 =       1 + 4 =        8 + 10 =       13 - 7 =
11 - 6 =       1 + 10 =       12 + 5 =       11 + 1 =       2 + 15 =
4 + 6 =        16 + 2 =       6 + 14 =       12 + 7 =       19 + 1 =
2 + 6 =        7 + 5 =        2 + 12 =       1 + 18 =       12 - 6 =
7 + 8 =        1 + 14 =       4 + 10 =       11 - 9 =       10 + 8 =
4 + 8 =        3 + 5 =        4 + 2 =        16 - 10 =      17 + 1 =
3 + 12 =       6 + 12 =       9 - 4 =        16 - 13 =      13 + 4 =
1 + 16 =       4 + 4 =        19 - 13 =      5 + 10 =       16 - 6 =
3 + 3 =        2 + 9 =        4 + 7 =        19 - 4 =       17 + 2 =
17 - 1 =       2 + 8 =        19 - 11 =      10 - 6 =       6 + 6 =
6 + 9 =        3 + 7 =        6 + 5 =        10 - 2 =       9 + 5 =
11 - 7 =       1 + 2 =        8 + 12 =       7 + 2 =        14 - 8 =
11 + 6 =       1 + 7 =        8 + 9 =        9 - 5 =        7 + 4 =
13 - 9 =       14 - 5 =       7 - 3 =        18 - 8 =       8 - 7 =
